ID,Name,Maths,Science,English,Total
S087,Robin Buhmann,64,87,36,187
S088,Clarence Rivers,36,35,43,114
S089,Thelma Ulloa,42,31,86,159
S090,Jannie Cummings,19,64,95,178
S091,Hubert Noland,95,50,37,182
S092,George Lipner,59,94,99,252
S093,David White,14,61,84,159
S094,Melinda Mcbroom,57,12,60,129
S095,Ricardo Evangelista,97,28,86,211
S096,Michelle Garcia,14,30,30,74
S097,Harry Lavigne,33,67,93,193
S098,Sarah Crown,50,72,11,133
S099,Maria Potts,54,83,92,229
S100,Patricia Skelton,14,10,84,108
S101,Richard French,92,0,86,178
S102,Jean Brown,22,80,28,130
S103,Hattie Fabry,54,47,28,129
S104,Michael Elliott,46,95,30,171
S105,Gretchen Pulliam,94,33,76,203
S106,Trish Mcdonald,75,96,56,227
S107,Henrietta Cousins,18,68,22,108
S108,Lisa Robinson,81,73,74,228
S109,Mildred Taylor,100,17,91,208
S110,Dorothy Hackworth,5,49,55,109
S111,Lillian Hile,34,29,10,73
S112,Betty Clark,91,14,73,178
S113,Ben Corley,64,18,92,174
S114,Joshua Cloninger,24,17,43,84
S115,Annie Bliss,100,34,74,208
S116,Margaret White,57,77,29,163
S117,Stuart Sas,31,82,100,213
S118,Marguerite Dorio,74,22,65,161
S119,Paul Case,61,19,42,122
S120,Emile Castillo,90,27,22,139
S121,Brian Divers,16,31,34,81
S122,Lillian Guinn,56,21,90,167
S123,Robert Baydal,92,29,85,206
S124,Micheal Rich,12,43,68,123
S125,Neil Johnston,7,14,37,58
S126,Phillip Crye,4,0,59,63
S127,Robert Allen,52,51,97,200
S128,Bryan Alan,22,48,3,73
S129,Craig Murphy,4,7,99,110
S130,John Howland,5,37,75,117
S131,Gerald Ainsworth,85,14,91,190
S132,Shirley Guzman,99,73,26,198
S133,Doreen Ramirez,57,50,74,181
S134,Clifton Schlenz,59,29,29,117
S135,Donald Freeman,52,85,43,180
S136,Willard Mcclain,20,0,87,107
S137,Maria Hendrick,58,79,2,139
S138,Mattie Wells,45,12,43,100
S139,Kevin Rodriguez,15,58,25,98
S140,Charles Vargas,1,97,96,194
S141,Linda Folks,23,26,94,143
S142,Damon Fredrick,80,86,74,240
S143,Donald Severson,21,0,67,88
S144,Mary Lester,60,57,18,135
S145,Janet Hererra,61,75,25,161
S146,Stevie Mitchell,98,29,33,160
S147,Jason Gregory,21,18,46,85
S148,Curtis Nixon,52,42,79,173
S149,Mike Bell,76,97,61,234
S150,Stephen Fuller,82,30,35,147
S151,Crystal Gannett,59,15,59,133
S152,Kristy Hart,21,91,45,157
S153,Jonathan Adams,1,32,16,49
S154,Ivette Cox,11,61,45,117
S155,Dolores Davis,96,48,55,199
S156,Michael Talavera,22,23,33,78
S157,William Bailey,20,55,54,129
S158,Belinda Alexander,33,14,94,141
S159,John Chambers,42,52,2,96
S160,Deborah Cox,25,84,63,172
S161,David Wilkinson,11,56,41,108
S162,Joshua Stewart,97,65,72,234
S163,Christopher Clark,23,41,22,86
S164,Bill Jones,13,32,0,45
S165,Eliza Thomas,37,4,88,129
S166,David Franklin,82,16,31,129
S167,Donald Lehn,16,60,30,106
S168,Lloyd Phillips,69,69,45,183
S169,Annette Miller,71,68,93,232
S170,Aaron Wiggins,71,74,44,189
S171,Roman Britt,63,89,32,184
S172,Jessica San,0,83,95,178
S173,Ignacio Pinneo,65,90,28,183
S174,Wilbert Bennett,71,100,94,265
S175,James Fleming,22,91,52,165
S176,Edith Carlson,51,38,4,93
S177,Dorthy Culp,73,27,44,144
S178,Erica Duncan,1,66,86,153
S179,Juanita Olsen,82,85,100,267
S180,Marion Barnard,26,55,21,102
S181,Jenette Horn,51,100,25,176
S182,Tony James,8,21,12,41
S183,Luz Dawson,80,79,85,244
S184,Jennifer Brown,70,20,100,190
S185,Robert Vesco,97,28,1,126
S186,Harold Mills,79,47,72,198
S187,Felix Lewis,74,8,64,146
S188,Mildred Smith,54,2,70,126
S189,Gregory Motley,81,20,85,186
S190,Mildred Valdes,24,73,73,170
S191,Wayne Johansen,24,61,85,170
S192,Austin Burney,98,48,35,181
S193,Karen Wilson,90,5,90,185
S194,Monte Folmer,30,54,49,133
S195,Gloria Williams,56,21,15,92
S196,William Pecanty,11,47,35,93
S197,Chris Henderson,44,75,48,167
S198,Daniel Simon,59,88,47,194
S199,William Hood,94,73,21,188
S200,Thomas Willadsen,100,86,48,234
S201,Theresa Hall,54,28,28,110
S202,Heidi Hopkins,73,73,72,218
S203,Wanda Duffy,24,16,10,50
S204,Jose Thibeault,55,77,57,189
S205,Jeffrey Lee,54,38,90,182
S206,Patricia Vallot,72,82,67,221
S207,Mary Copeland,50,12,58,120
S208,Bryan Snavely,77,12,41,130
S209,Gloria Middaugh,89,17,9,115
S210,Bill Summers,77,16,27,120
S211,Rebekah Webb,79,71,90,240
S212,Joseph Huntley,92,80,76,248
S213,Billy Harris,50,91,51,192
S214,Lamont Tilton,65,6,24,95
S215,James Brower,2,54,39,95
S216,Raymond Butler,66,52,32,150
S217,Jan Bubert,70,62,16,148
S218,Ellis Keena,51,54,49,154
S219,Susan Daniels,38,13,17,68
S220,Gerald Marcotte,39,5,33,77
S221,Marianne Barnes,1,34,37,72
S222,Rico Maybury,78,40,78,196
S223,Kyle Hartley,99,35,18,152
S224,Jordon Rosenberger,16,97,59,172
S225,Terry Hammond,88,12,74,174
S226,Jackson Patague,17,3,73,93
S227,Patricia Schulz,80,18,61,159
S228,Thomas Brinkley,13,10,64,87
S229,Kenneth Carter,95,3,66,164
S230,Jimmy Bowles,10,63,48,121
S231,Larry Cox,37,39,10,86
S232,Benita Gomez,63,75,0,138
S233,Christopher Smith,42,48,74,164
S234,Kent Para,29,47,39,115
S235,Alexis Marcum,0,34,15,49
S236,Dominic Wimbush,92,86,99,277
S237,Jolene Mcsween,67,76,51,194
S238,Allen Powell,30,26,93,149
S239,Eddie Betterton,95,17,47,159
S240,Maria Hall,28,9,29,66
S241,John Pilkington,38,27,52,117
S242,Elisabeth Marinas,63,55,84,202
S243,Helen Strickland,54,86,87,227
S244,David Lopez,92,34,33,159
S245,Ester Dirickson,17,54,83,154
S246,Gene Heckman,17,94,57,168
S247,Joseph Rosenberg,20,58,71,149
S248,Traci Freed,43,97,75,215
S249,Toni Revell,11,83,61,155
S250,Anthony Kasahara,64,1,9,74
S251,Ralph Sawyer,17,29,34,80
S252,Tom Tomko,58,48,29,135
S253,Michael Mills,32,57,97,186
S254,Theresa Bilodeau,75,99,35,209
S255,William Lindblad,74,61,21,156
S256,Janet Hernandez,61,53,99,213
S257,Tracy Duran,70,24,72,166
S258,Wilton Coombs,79,67,43,189
S259,Edward Jones,64,50,47,161
S260,Kelley Blackwell,58,54,9,121
S261,Thomas Washington,81,98,51,230
S262,Brittany James,81,8,83,172
S263,Jose Frisco,70,12,35,117
S264,Collette Kerrigan,100,39,66,205
S265,John Roberts,26,46,70,142
S266,Alberto Lombardo,11,92,15,118
S267,Dina Yenz,61,80,62,203
S268,Michael Ewald,70,42,16,128
S269,Jose Bowie,51,80,81,212
S270,Patrick Morse,88,4,43,135
S271,Deborah Speck,30,71,42,143
S272,Rosie Turner,62,75,88,225
S273,Dawn Iler,12,16,99,127
S274,Cathryn Matheson,2,29,69,100
S275,Kenneth Winstead,8,7,9,24
S276,Annette Doney,73,13,93,179
S277,Molly Bennett,39,74,23,136
S278,Marvin Sine,26,31,54,111
S279,David Bach,62,50,48,160
S280,Jennie Batz,9,12,85,106
S281,Brian Williamson,3,70,55,128
S282,Mary Ratliff,98,29,95,222
S283,Charlene Doe,21,84,58,163
S284,Charles Collins,21,9,11,41
S285,Louis Allen,9,24,17,50
S286,Nicole Mcdonald,65,98,33,196
S287,Joshua Szaflarski,57,51,8,116
S288,John Hernandez,66,73,76,215
S289,Caleb Castro,16,74,74,164
S290,Elizabeth Nay,3,2,13,18
S291,Karen Cornett,25,69,84,178
S292,Henry Hogan,68,22,65,155
S293,Darryl Bilbo,61,64,80,205
S294,Paul Bose,92,98,32,222
S295,Margaret Magera,57,34,84,175
S296,James Jackson,88,46,14,148
S297,John Hulse,43,97,19,159
S298,Troy Johnson,89,78,8,175
S299,Jody Ruybal,13,65,2,80
S300,Mark Goebel,26,16,19,61
S301,Jacob Sayre,85,54,74,213
S302,Bonita Grey,88,52,90,230
S303,Steven Austin,8,0,13,21
S304,Lisa Perrone,54,76,82,212
S305,Robert Troise,38,89,38,165
S306,Ben Haraway,94,83,11,188
S307,Brenda Meyer,95,44,58,197
S308,Donald Brown,19,51,65,135
S309,Steve Little,58,22,23,103
S310,Anthony Brown,37,89,8,134
S311,Phuong Stricker,78,6,74,158
S312,Robert Aguiar,25,86,82,193
S313,Pamela Goodrich,14,30,96,140
S314,Brian Abel,84,58,81,223
S315,Andrew Bodily,54,51,76,181
S316,Theodore Vergin,81,14,27,122
S317,Nicole Heinecke,7,49,79,135
S318,Valerie Myers,46,6,51,103
S319,Patrick Francis,36,74,42,152
S320,Eleanor Schulte,61,79,9,149
S321,Mildred Kulesa,67,33,54,154
S322,Mara Lamblin,64,69,50,183
S323,Marsha Teyler,69,30,78,177
S324,Billie Grooms,81,74,46,201
S325,Anthony Spencer,80,56,64,200
S326,Belinda Metzler,1,30,17,48
S327,Pete King,98,90,12,200
S328,Timothy Duwe,3,59,70,132
S329,Anna Begin,13,80,66,159
S330,Manuel Bielinski,50,61,93,204
S331,Kenneth Cottrell,43,27,87,157
S332,Mark Peart,48,34,94,176
S333,Susan Lee,68,60,52,180
S334,Janetta Mallory,19,11,80,110
S335,Tracey Hill,48,61,58,167
S336,Debra Hough,27,44,47,118
S337,Patrica Gonzalez,67,20,62,149
S338,John Hamilton,19,59,88,166
S339,Dolores Mccalmont,87,58,24,169
S340,Donnie Daffin,13,27,74,114
S341,Eric Griffin,82,53,64,199
S342,David Crouse,60,52,50,162
S343,Edith Garcia,24,92,73,189
S344,Martha Torsiello,14,32,50,96
S345,Steven Beckum,60,21,28,109
S346,Joshua Garcia,31,45,6,82
S347,Diane Sheridan,99,61,74,234
S348,Herman Collins,97,89,45,231
S349,Merle Brandy,5,53,6,64
S350,William Joiner,34,2,73,109
S351,Douglas Avera,23,50,5,78
S352,Eddie Smith,2,80,44,126
S353,Robert Klingenberger,67,87,98,252
S354,Victor Wright,22,12,75,109
S355,Todd Gilliam,3,29,76,108
S356,Norma Pemberton,88,77,3,168
S357,Jacob Jones,27,59,8,94
S358,Diana Gill,45,59,91,195
S359,Ricky Walter,6,49,11,66
S360,Stephanie Mcguire,66,34,3,103
S361,Craig Easton,48,62,12,122
S362,Antoinette Gipson,54,2,97,153
S363,Bernadette Rudman,35,74,88,197
S364,Curtis Rivera,10,27,68,105
S365,Henry Healy,0,100,10,110
S366,David Raulston,56,52,56,164
S367,Jeffrey Wikoff,6,15,7,28
S368,George Ellis,44,77,23,144
S369,Monica Jones,72,43,37,152
S370,Sarah Dockery,29,5,30,64
S371,Lester Danforth,59,53,90,202
S372,Margaret Lapoint,17,49,96,162
S373,Ruby Davis,85,51,17,153
S374,Lillie Smalley,100,18,54,172
S375,Christopher Russell,63,54,26,143
S376,Betty Estep,59,16,90,165
S377,Karl Steen,18,65,67,150
S378,Eleanor Pagan,23,14,71,108
S379,Ronald Violette,88,45,38,171
S380,Sarah Hearne,86,71,34,191
S381,Roy Wibbens,32,2,35,69
S382,Charlene Snyder,95,2,84,181
S383,Kendal Oliver,91,51,100,242
S384,Keith Granger,88,40,78,206
S385,George Lee,30,62,34,126
S386,Henry Walker,20,59,51,130
S387,John Watkins,33,76,47,156
S388,Shannon Osorio,60,25,74,159
S389,Juanita Sheffield,69,9,96,174
S390,Barbara Stephens,14,89,62,165
S391,Toni Coutee,37,15,18,70
S392,Mark Goodrum,86,78,29,193
S393,Benjamin Kunze,45,92,9,146
S394,Lisa Strahm,88,93,86,267
S395,Andrew Grazier,38,65,40,143
S396,Eric Arnold,17,71,28,116
S397,Laura Cedeno,61,5,50,116
S398,John Tibbs,100,85,45,230
S399,Ella Ward,9,43,39,91
S400,Jennifer Lamar,56,80,0,136
S401,Todd Richardson,16,27,6,49
S402,Jenna Frazier,16,14,21,51
S403,Christine Cutler,15,19,80,114
S404,Robert Levi,53,20,71,144
S405,Noella Britcher,87,74,87,248
S406,Marilyn Berger,22,36,2,60
S407,Marion Rivas,25,67,68,160
S408,Deborah Wilson,78,13,94,185
S409,Rita Pults,71,3,40,114
S410,Emily Jones,20,13,77,110
S411,Stephen Dower,58,22,71,151
S412,Raymond Thom,13,63,60,136
S413,Robert Simpson,65,84,66,215
S414,Seth Joyce,45,33,50,128
S415,John Hassinger,28,12,23,63
S416,Maxine Obrien,19,3,66,88
S417,Donna Rucker,49,69,80,198
S418,Jodie Walker,91,30,42,163
S419,Alice Schwald,87,52,18,157
S420,Nicole Weltha,90,33,75,198
S421,Michael White,81,61,88,230
S422,Harold Wacker,39,93,90,222
S423,Terry Toney,60,95,43,198
S424,Mary Hendon,67,17,34,118
S425,Sharyn Bowers,90,87,63,240
S426,Donald Houston,36,52,59,147
S427,Ferdinand Richard,42,68,96,206
S428,Eric Critchfield,8,1,37,46
S429,Travis Snow,98,65,82,245
S430,Barbara Griffin,76,60,93,229
S431,Delores Dunbar,32,40,69,141
S432,Lori Wiggins,87,52,64,203
S433,Betty Pierce,5,21,24,50
S434,Elizabeth Young,12,0,21,33
S435,Brenda Purnell,18,43,80,141
S436,Joseph Delosantos,57,48,19,124
S437,Steven Bennett,51,89,7,147
S438,Rhonda Bulmer,9,3,67,79
S439,Ronald Swearingen,77,95,9,181
S440,Christopher Serrano,79,87,99,265
S441,Beverly Posey,59,61,25,145
S442,Katherine Furth,74,76,15,165
S443,Maria Everett,27,84,87,198
S444,Guadalupe Lumpkin,7,92,12,111
S445,Jean Turner,45,61,54,160
S446,Soledad Lawson,26,15,91,132
S447,Iva Derentis,85,53,50,188
S448,Shirley Garrell,62,39,73,174
S449,Jennifer Loy,99,15,0,114
S450,Gladys Sjogren,98,39,37,174
S451,Luke Torkelson,2,65,62,129
S452,Patsy Ryals,6,65,93,164
S453,Gita Rogers,21,2,85,108
S454,James Gillins,31,48,64,143
S455,Corey Edington,23,98,61,182
S456,Lance Dickerson,19,49,36,104
S457,Henrietta Mckibben,44,77,30,151
S458,Linda Martino,97,40,0,137
S459,Gina Parks,13,70,33,116
S460,Andrea Dudley,66,99,29,194
S461,Jessica Fawbush,50,63,60,173
S462,Gloria Schleider,88,99,54,241
S463,Kimberly Haven,90,56,49,195
S464,Dorothy Olmstead,87,56,22,165
S465,Kenneth Lamb,93,98,98,289
S466,Genevieve Baker,96,98,68,262
S467,Rose Crouch,61,0,58,119
S468,Stacey Frantz,51,73,16,140
S469,William Stackhouse,43,15,31,89
S470,George Macon,43,14,54,111
S471,Willie Gordon,43,0,7,50
S472,Melanie Marks,84,81,58,223
S473,William Hudson,63,37,80,180
S474,Joseph Frey,22,25,47,94
S475,Maxine Masters,82,44,75,201
S476,Allison Weintraub,24,69,30,123
S477,Dennis Thomas,86,73,53,212
S478,Mike Smith,12,33,70,115
S479,Grace Jacocks,2,54,85,141
S480,Robert Clifton,21,29,37,87
S481,John Maze,25,42,96,163
S482,Helen Mosley,68,24,55,147
S483,Ruth Williams,0,82,26,108
S484,Kimberly Eikenberry,67,7,43,117
S485,Megan Mcgee,0,14,75,89
S486,Shawn Steptoe,85,81,52,218
S487,Jeffrey Odell,17,47,30,94
S488,Melba Forsmark,33,41,7,81
S489,Teresa Summers,17,53,78,148
S490,Jeannie Duckworth,79,14,80,173
S491,Susan Anderson,51,30,35,116
S492,Angela Fujioka,61,95,90,246
S493,John Norton,77,0,60,137
S494,Cheryl Langenfeld,9,80,4,93
S495,Heather Paschall,87,94,53,234
S496,Vera Flynn,49,6,31,86
S497,Gary Welch,24,94,73,191
S498,Edward Hedrington,10,13,50,73
S499,Harold Kakani,7,2,3,12
S500,Paul Shapiro,56,16,20,92
S501,Ryan Carter,53,80,47,180
S502,Teri Williams,45,29,20,94
S503,Jeffrey Grove,18,31,90,139
S504,Cathryn Wyman,77,21,35,133
S505,Lois Townsend,50,89,50,189
S506,Diana Carpenter,89,72,4,165
S507,Phillip Bonner,84,10,47,141
S508,Maureen Allen,10,19,68,97
S509,John Kerley,34,29,41,104
S510,Sadie Spangler,57,37,76,170
S511,Christopher Oneill,29,50,90,169
S512,Carmen Alvarez,3,38,16,57
S513,Patrica Manning,93,11,23,127
S514,Neta Lanterman,100,99,21,220
S515,Margarita Miller,12,38,79,129
S516,Rose Curtis,24,99,51,174
S517,Alice Wolfe,11,85,97,193
S518,Rhea Tonge,67,40,69,176
S519,Rebecca Wells,33,88,48,169
S520,Audrey Banta,26,99,64,189
S521,James Gorrell,95,96,51,242
S522,Gerda Mudget,32,57,68,157
S523,Barbara Martinez,25,39,55,119
S524,Heather Garcia,42,2,85,129
S525,Nancy Bowes,95,74,54,223
S526,Linda Pugh,49,54,39,142
S527,James Morris,73,64,4,141
S528,Leonida Mirza,17,5,95,117
S529,Matthew Archambault,67,93,39,199
S530,Jack Daniels,98,1,33,132
S531,Kimberly Grewe,26,13,10,49
S532,David Cannaday,9,83,41,133
S533,Jonathan Sokolowich,42,48,7,97
S534,Theresa Witt,4,10,25,39
S535,Michael Williams,26,46,29,101
S536,Michelle Boggs,19,23,44,86
S537,Danielle Gauthier,18,0,88,106
S538,Callie Cunningham,62,5,35,102
S539,Kathleen Niles,74,26,92,192
S540,Oscar Yung,63,8,21,92
S541,Brenda Rodriguez,89,17,90,196
S542,Derek Matthews,33,45,11,89
S543,Matthew Bessemer,93,62,62,217
S544,Mary Contreras,100,44,3,147
S545,Barbara Scott,96,33,74,203
S546,Stacie Anderson,24,87,60,171
S547,Karen Barrett,53,15,81,149
S548,Robert Davis,5,36,12,53
S549,Linda Nolan,98,12,23,133
S550,Jack Johnson,27,4,19,50
S551,Beulah Anderson,55,38,19,112
S552,Peggy Rodgers,67,19,57,143
S553,Ann Bolender,78,2,85,165
S554,Kaitlyn Guy,64,29,35,128
S555,Lillian Mclaughlin,17,30,41,88
S556,Carl Jones,78,41,35,154
S557,Jay Kelly,18,43,46,107
S558,Renee Newman,29,78,96,203
S559,Stephen Breaud,20,8,63,91
S560,Maureen Norrix,20,78,87,185
S561,Mario Clark,63,67,66,196
S562,Steven Cloutier,22,5,78,105
S563,Helen Canada,46,7,63,116
S564,Dawn Sims,5,60,66,131
S565,Gerald Brooks,25,29,76,130
S566,Rosemary Boswell,60,92,68,220
S567,Minnie Bates,78,74,37,189
S568,Steven Vincent,54,68,90,212
S569,Ellen Pendry,41,32,43,116
S570,Blanche Moore,3,13,58,74
S571,Vernon Everitt,99,60,39,198
S572,Kathy Maymon,34,22,75,131
S573,Gilbert Williams,69,27,6,102
S574,Derek Landers,25,10,78,113
S575,Christopher Walker,7,5,38,50
S576,Laverne Jackson,97,46,97,240
S577,Julian Tada,13,43,24,80
S578,Carole Gorby,65,31,91,187
S579,Truman Wilcox,89,79,23,191
S580,Nick Delarosa,65,25,53,143
S581,Kristen Sheridan,69,40,3,112
S582,Donald Nunez,63,94,53,210
S583,Christa Hoefling,6,34,1,41
S584,James Zabala,80,80,89,249
S585,Gus Mitchell,17,27,95,139
S586,James Neal,4,53,48,105
S587,Helen Rhodes,75,57,54,186
S588,Linda Huett,79,58,40,177
S589,James Freyman,64,33,96,193
S590,Patricia Torres,79,3,79,161
S591,John Bozych,43,94,39,176
S592,Bruce Juan,49,38,6,93
S593,Edward Eversoll,63,26,0,89
S594,Joey Carr,66,96,100,262
S595,Talia Marson,10,55,93,158
S596,Ruby Palmer,89,5,16,110
S597,Joann Quinn,97,64,68,229
S598,David Sheppard,25,18,36,79
S599,Jessica Ross,81,86,40,207
S600,Virginia Davis,76,50,21,147
S601,Rosa Davis,14,27,12,53
S602,Michael Holliday,13,63,63,139
S603,Allyson Coakley,41,54,17,112
S604,Gussie Baker,50,70,100,220
S605,Kevin Smith,100,57,62,219
S606,Mary Hendershot,84,3,32,119
S607,Valerie Boor,58,79,19,156
S608,Vicki Lafountain,57,93,29,179
S609,Jim Jones,8,53,34,95
S610,Jason Blanton,58,84,99,241
S611,Katherine Fullilove,23,77,76,176
S612,Shirley Stark,6,59,19,84
S613,Jeanette Arroyo,57,76,77,210
S614,George James,40,70,76,186
S615,Fidel Shearer,55,13,37,105
S616,Alan Boyle,94,35,26,155
S617,Grady Miner,25,11,38,74
S618,William Murphy,8,56,11,75
S619,Matthew Welsh,7,92,74,173
S620,James Sadler,29,20,35,84
S621,Trudy Adams,44,51,93,188
S622,Wilmer Leflore,1,74,81,156
S623,Daniel Webb,49,38,22,109
S624,William Solano,34,77,43,154
S625,Cynthia Harrod,83,7,14,104
S626,Dolores Leach,19,39,26,84
S627,Michael Braddy,29,56,17,102
S628,Irene Jones,73,57,75,205
S629,Phillip Stewart,5,29,55,89
S630,Bryan Mccoy,74,50,18,142
S631,Kyle Franzen,19,39,93,151
S632,Elliott Shaffer,10,78,71,159
S633,Gregory Pullen,11,76,84,171
S634,Amy Scala,13,10,48,71
S635,Britney Knight,47,46,3,96
S636,Luis Furst,89,5,98,192
S637,Alan Sanchez,8,7,86,101
S638,Hattie Brown,13,80,14,107
S639,Yolanda Sherburne,24,53,55,132
S640,Sherry Glass,0,71,35,106
S641,Kenny Bleau,34,67,9,110
S642,Robert Bligen,63,61,3,127
S643,Luis Brooks,7,35,1,43
S644,Alisa Roland,37,100,14,151
S645,Edward Lewis,22,32,7,61
S646,Russell Briz,48,86,87,221
S647,Nancy Young,85,64,24,173
S648,Ashley Oliver,37,24,54,115
S649,Charles Kennedy,52,90,21,163
S650,Rebecca Herrera,68,14,2,84
S651,Joseph Perales,22,81,11,114
S652,Anna Thornton,23,40,68,131
S653,Donald Hansen,11,25,68,104
S654,Paul Smith,41,38,36,115
S655,Mario Mattox,35,17,24,76
S656,Dorothy Brodowski,11,15,59,85
S657,Dolly Hunter,48,37,28,113
S658,Sheena Romaniak,92,39,36,167
S659,Tracy Kuck,1,69,60,130
S660,Gregg Noonan,80,9,5,94
S661,Mary Clay,39,40,72,151
S662,Eula Roddy,16,54,78,148
S663,Cory Crowe,77,96,9,182
S664,Robert Melton,99,1,100,200
S665,Paul Pineda,6,25,60,91
S666,Scotty Santo,57,41,8,106
S667,Roberta Vandam,8,78,91,177
S668,Katie Leonard,92,87,91,270
S669,Daniel Hodges,72,22,10,104
S670,Deborah Sulc,65,31,62,158
S671,Robert Briggs,38,7,9,54
S672,Howard Rojas,40,33,50,123
S673,Anna Banda,95,69,72,236
S674,Carmen Pederson,85,72,84,241
S675,Odell Ferrar,1,16,70,87
S676,Marion Taylor,38,38,25,101
S677,Albert Sweet,16,4,2,22
S678,Nicholas Sperry,72,77,36,185
S679,Ella Scheppke,45,88,39,172
S680,Josiah Speece,51,23,71,145
S681,James Vanwoert,0,31,53,84
S682,Karen Causey,38,18,3,59
S683,Joseph Blain,64,66,58,188
S684,Joaquin Mccord,32,89,53,174
S685,Jennifer Williams,10,12,5,27
S686,Kay Bringle,11,96,79,186
S687,Jerry Jagers,91,85,68,244
S688,Kathy Atkison,71,46,7,124
S689,Barbara Koch,88,80,56,224
S690,Helen Miles,97,26,95,218
S691,Becky Dykstra,90,26,43,159
S692,Guy Roberts,84,98,60,242
S693,Velma Ahmad,74,18,96,188
S694,Kevin Lerud,22,9,12,43
S695,William Daugherty,15,86,7,108
S696,Steven Hazlett,57,85,65,207
S697,Angela Brieno,66,34,65,165
S698,Douglas Parks,14,2,60,76
S699,Edna Walsh,15,56,27,98
S700,Benjamin Vanwoert,94,21,37,152
S701,Ronald Thompson,76,33,15,124
S702,Daniel Griffin,34,69,62,165
S703,Buck Lowe,100,61,24,185
S704,Francisca Buoy,53,88,49,190
S705,Vernon Gismondi,12,60,73,145
S706,Robert Atkins,31,50,4,85
S707,Patrick Valdez,39,59,7,105
S708,Lynette Russ,44,66,81,191
S709,Leola Borke,100,40,10,150
S710,Karla Kidwell,95,82,83,260
S711,Emily Gibson,9,81,46,136
S712,Travis Cross,44,22,39,105
S713,Robert Buffin,4,100,60,164
S714,Judy Barrett,32,94,99,225
S715,Joseph Petterson,14,51,22,87
S716,Donald Kaufman,77,50,35,162
S717,Deborah Lopez,82,88,42,212
S718,Nora Lauseng,48,52,33,133
S719,Charles Darden,48,33,63,144
S720,Kimberly Rowland,20,48,35,103
